Time (Year/Month)	monthly_inflation_rate
1959-12-01	0.0
1960-01-01	0.0
1960-02-01	-0.5681466024831155
1960-03-01	0.0
1960-04-01	0.5713929521274557
1960-05-01	0.2840962566598499
1960-06-01	0.0
1960-07-01	0.0
1960-08-01	0.0
1960-09-01	-0.283291436293901
1960-10-01	0.2840962566598499
1960-11-01	0.283291436294304
1960-12-01	0.0
1961-01-01	0.8474734890623392
1961-02-01	0.0
1961-03-01	0.0
1961-04-01	0.0
1961-05-01	0.8403517309282336
1961-06-01	0.5555208900542502
1961-07-01	0.0
1961-08-01	0.0
1961-09-01	0.0
1961-10-01	0.0
1961-11-01	0.5524965468967987
1961-12-01	0.0
1962-01-01	1.0989215899556104
1962-02-01	0.27174414243810935
1962-03-01	0.2709638992172652
1962-04-01	0.27027534628512584
1962-05-01	0.0
1962-06-01	0.0
1962-07-01	0.269546827662875
1962-08-01	-0.5376444517623027
1962-09-01	0.0
1962-10-01	0.27027534628512584
1962-11-01	0.269546827662875
1962-12-01	0.5376444517619203
1963-01-01	1.3368800256149338
1963-02-01	0.7915715791521772
1963-03-01	0.0
1963-04-01	0.2617849775696648
1963-05-01	-0.2611014531889999
1963-06-01	-0.5235699551393296
1963-07-01	0.0
1963-08-01	-0.2631628190235555
1963-09-01	0.2638571930509849
1963-10-01	0.7894884570695034
1963-11-01	0.2611014531889999
1963-12-01	0.7812223817709355
1964-01-01	0.5168055769571008
1964-02-01	0.25707421460038654
1964-03-01	0.0
1964-04-01	0.0
1964-05-01	0.0
1964-06-01	-0.2564150376562146
1964-07-01	0.25707421460038654
1964-08-01	0.0
1964-09-01	0.0
1964-10-01	0.2564150376562146
1964-11-01	0.5115184650476587
1964-12-01	0.7633317830663318
1965-01-01	0.2525299930377963
1965-02-01	0.0
1965-03-01	0.5037877708533036
1965-04-01	0.2506312359100131
1965-05-01	0.2500046461754711
1965-06-01	0.7481032441317012
1965-07-01	0.24752940611735313
1965-08-01	0.0
1965-09-01	0.0
1965-10-01	0.49383642187280546
1965-11-01	0.4914096619810026
1965-12-01	0.48900663612369943
1966-01-01	0.4865876775944985
1966-02-01	0.24213529838041764
1966-03-01	0.24155041955164153
1966-04-01	0.7229050784040488
1966-05-01	0.0
1966-06-01	0.0
1966-07-01	0.0
1966-08-01	-0.23923888938711932
1966-09-01	0.0
1966-10-01	0.2398126144224739
1966-11-01	0.9569168958019703
1966-12-01	0.23697127125430237
1967-01-01	0.23641104499591498
1967-02-01	0.0
1967-03-01	0.2358534613629116
1967-04-01	0.0
1967-05-01	0.2352985017021121
1967-06-01	0.0
1967-07-01	0.0
1967-08-01	-0.4694922950683216
1967-09-01	0.0
1967-10-01	0.2358534613629116
1967-11-01	0.2352985017021121
1967-12-01	0.0
1968-01-01	0.9389466544311535
1968-02-01	0.23256250963052386
1968-03-01	0.0
1968-04-01	0.0
1968-05-01	0.0
1968-06-01	0.0
1968-07-01	0.0
1968-08-01	-0.23202291132502859
1968-09-01	0.0
1968-10-01	0.23256250963052386
1968-11-01	0.6960687339754276
1968-12-01	0.23041903645513695
1969-01-01	0.2298893276813803
1969-02-01	0.45872409761915844
1969-03-01	0.2282778178307437
1969-04-01	0.0
1969-05-01	0.22779470940522012
1969-06-01	0.0
1969-07-01	0.0
1969-08-01	-0.2272769844589269
1969-09-01	0.0
1969-10-01	0.22779470940522012
1969-11-01	0.2272769844589269
1969-12-01	0.6802848225466996
1970-01-01	1.1261106324803685
1970-02-01	0.22272131761175737
1970-03-01	0.4444527442157526
1970-04-01	0.4424861025897145
1970-05-01	0.0
1970-06-01	0.22026839426215875
1970-07-01	0.0
1970-08-01	0.0
1970-09-01	0.0
1970-10-01	0.4395330400980428
1970-11-01	0.4376449637059801
1970-12-01	0.6536069675824583
1971-01-01	1.0822361666752998
1971-02-01	0.8565470550658465
1971-03-01	0.4246363176594237
1971-04-01	0.6342270070072671
1971-05-01	0.21008795650782555
1971-06-01	0.4192950246659724
1971-07-01	0.4175442822646594
1971-08-01	0.0
1971-09-01	0.2079040496606824
1971-10-01	0.4149118827744101
1971-11-01	0.20661543351839026
1971-12-01	0.41237882873233
1972-01-01	1.2320225651234824
1972-02-01	0.4056870931780737
1972-03-01	0.6060718843564215
1972-04-01	0.40158140322779706
1972-05-01	0.0
1972-06-01	0.40000749852440765
1972-07-01	0.7968276267916192
1972-08-01	0.0
1972-09-01	0.9881286588929175
1972-10-01	0.3913967354300851
1972-11-01	0.5848061908052654
1972-12-01	0.3875727423145416
1973-01-01	1.1582916422800362
1973-02-01	0.5725298547303626
1973-03-01	0.7590274807077204
1973-04-01	0.5649518057732765
1973-05-01	0.7490777252877732
1973-06-01	0.5576312028359083
1973-07-01	0.3696926138547944
1973-08-01	0.0
1973-09-01	0.0
1973-10-01	0.7366320815753972
1973-11-01	1.2797017702517526
1973-12-01	0.9025147545803511
1974-01-01	0.7155769527095777
1974-02-01	0.8881160372112932
1974-03-01	0.17603114217682153
1974-04-01	0.7030008753426724
1974-05-01	0.5235699551395695
1974-06-01	0.3472286518630284
1974-07-01	0.34599918693672793
1974-08-01	0.17241701177463115
1974-09-01	0.1721202471877534
1974-10-01	0.6872980097180501
1974-11-01	0.68257889121127
1974-12-01	0.16949468233735956
1975-01-01	1.0152199593112494
1975-02-01	0.5025219487912476
1975-03-01	0.50000929235095
1975-04-01	0.8291759295364872
1975-05-01	0.49343023320726953
1975-06-01	0.8183193071938374
1975-07-01	0.0
1975-08-01	-0.1623406861490794
1975-09-01	0.4878139790081055
1975-10-01	0.16181530200592134
